,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,pds_lat,wds_lat,T1,T2,B0,reliability,penalized_avg_obj
135,1.5,135027.43800158083,141457.07786027552,1880.8664061425986,0.08912328516905864,146569.3899500314,0.162,21143.958171557308,8,12,88,83,0,0.838,156171.39617313814
136,1.5,134036.89917381873,141043.61661013914,1942.35843249214,0.06393139987770943,145624.26970608035,0.147,6713.7281828870655,10,0,76,79,0,0.853,140750.6273567058
137,1.5,134290.26842278434,141176.07735173276,1922.3003970520008,0.0647737840584517,145870.39038392223,0.149,13251.292867347383,10,2,70,90,0,0.851,147541.56129013174
138,1.5,134501.3829801721,141329.91866858624,1908.4803394007777,0.06278811937704112,146068.21578083606,0.133,15634.39613411107,10,4,61,78,0,0.867,150135.77911428316
139,1.5,134680.43832320021,141374.63183057695,1891.2105484542478,0.06132107690477636,146239.50916495867,0.151,19027.556229738617,10,6,69,92,0,0.849,153707.99455293882
140,1.5,134828.9975186714,141285.96582545695,1875.175914783334,0.06193888513219992,146381.55091527032,0.15,21272.12471172772,10,8,76,81,0,0.85,156101.1222303991
141,1.5,134951.37401773327,141569.05112781434,1867.568431581692,0.07290076057822115,146501.91050767363,0.167,23420.524310843448,10,10,86,91,0,0.833,158371.8983285767
142,1.5,135037.31066484947,141469.66474790976,1868.1396899488602,0.08370696597700378,146584.573909301,0.152,21156.397648761144,10,12,78,83,0,0.848,156193.7083136106
143,1.5,134037.67143656858,141043.8849349218,1940.1428105811951,0.06397787764164682,145626.14791838764,0.152,6712.825300144283,12,0,78,82,0,0.848,140750.49673671287
144,1.5,134290.86923994325,141172.71265135473,1918.8449867202237,0.0646960947472377,145872.34299888858,0.15,13310.21849359843,12,2,71,90,0,0.85,147601.08773354167
145,1.5,134502.0402535833,141323.44706087594,1904.1212671639603,0.06254973887434821,146070.25343601356,0.135,15685.750299641768,12,4,61,80,0,0.865,150187.7905532251
146,1.5,134681.0966115569,141365.51915693007,1886.067676288236,0.06105816485352949,146241.61172243336,0.166,19060.32358279459,12,6,71,107,0,0.834,153741.42019435146
147,1.5,134829.70877280875,141256.41334052163,1869.401868622421,0.06163984709061784,146383.7069582186,0.165,21367.601805873222,12,8,76,96,0,0.835,156197.31057868197
148,1.5,134952.06285379935,141537.27052809874,1861.251765164354,0.07263877900358551,146504.14776492707,0.157,23486.277420464972,12,10,88,79,0,0.843,158438.3402742643
149,1.5,135064.13228841082,141545.40336466278,1851.7635607165216,0.07190497461004065,146609.64576763008,0.163,21622.318540213244,12,12,88,83,0,0.837,156686.45082862407
150,2.0,135810.3574468256,142486.94794687984,1880.823377864989,0.03443412113020802,151339.30829119252,0.063,1884.4111817551543,0,0,31,34,0,0.937,137694.76862858076
151,2.0,135810.3574468256,142486.94794687984,1880.823377864989,0.03443412113020802,151339.30829119252,0.063,1884.4111817551543,0,0,31,34,0,0.937,137694.76862858076
152,2.0,136086.61847994514,142705.00419260384,1883.5282298795157,0.0327400014705306,151608.3301544217,0.059,3649.1217474638497,0,2,29,32,0,0.9410000000000001,139735.740227409
153,2.0,136352.28361684052,142907.90406162076,1882.0207614103263,0.02876055861004972,151848.4175423979,0.05,4587.16692947623,0,4,23,27,0,0.95,140939.45054631674
154,2.0,136594.14075813038,143153.8899271625,1873.1889742627366,0.02530526995253055,152070.62741091897,0.053,5178.463433472483,0,6,24,31,0,0.947,141772.60419160285
155,2.0,136796.95693918553,142927.97150428864,1854.3809848363169,0.028310630638871986,152260.73583934747,0.052,5516.0472018249675,0,8,26,26,0,0.948,142313.0041410105
156,2.0,136960.87143779028,143412.37604627805,1847.8933453435186,0.0489584949352651,152423.79346313007,0.049,4986.158864347093,0,10,18,31,0,0.951,141947.03030213737
157,2.0,137124.6929476179,143174.55033656966,1830.8739804917127,0.07383304894511096,152569.0841677122,0.034,4399.969091330799,0,12,16,18,0,0.966,141524.6620389487
158,2.0,135827.23662273644,142492.89990523318,1885.0281397330577,0.03404910371971779,151391.4529417111,0.059,1874.2914637848598,2,0,30,31,0,0.9410000000000001,137701.5280865213
159,2.0,136166.58705148386,142704.2931951413,1866.4941989325746,0.03225110057983391,151719.67898987906,0.053,3796.9204399771243,2,2,28,28,0,0.947,139963.50749146097
160,2.0,136387.00482830888,142915.11741617054,1876.197379036512,0.03003371952900632,151928.56750912848,0.049,4609.544395280138,2,4,22,27,0,0.951,140996.549223589
161,2.0,136617.91729138163,143166.9133358838,1873.837813610172,0.025241011175761014,152138.74900703432,0.054,5255.8813077033,2,6,25,31,0,0.946,141873.79859908493
162,2.0,136817.04055538602,142983.56196509965,1859.2275332230774,0.02735947856253322,152322.54472692555,0.051,5543.862142185131,2,8,25,26,0,0.949,142360.90269757115
163,2.0,136979.92105695407,143456.73960817634,1855.6187673462784,0.047553665941285725,152482.45586747263,0.05,4924.07762754457,2,10,18,32,0,0.95,141903.99868449866
164,2.0,137142.21558148117,143237.3393211704,1840.8345319251737,0.07145567643634561,152625.63947957617,0.034,4326.355036050103,2,12,17,17,0,0.966,141468.57061753128
