,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,total_violated_dispatch,pds_lat,wds_lat,T1,T2,gen_2,reliability,penalized_avg_obj
41,1.0,132915.86536889258,139988.55503923143,1973.3229131127987,0.10333344707922552,140.33326541147093,0.308,221378.94563530464,,,10,8,176,163,0,0.692,354294.8110041972
42,1.0,132994.5410393348,140214.36543666176,1965.4857516713232,0.11352758654432502,140.41352661855382,0.321,250637.41828185867,,,10,10,176,176,0,0.679,383631.9593211935
43,1.0,133068.8201021707,140188.64017894727,1955.7510031969437,0.11261758855709451,140.4838327409075,0.323,264347.2519094618,,,10,12,174,176,0,0.677,397416.0720116325
44,1.0,132426.0313855435,139869.2062790939,2043.023319191644,0.10418502447060561,139.8287199463746,0.28,59295.1758105505,,,12,0,178,133,0,0.72,191721.20719609398
45,1.0,132769.0478450619,140128.8739012641,2015.4430200685065,0.10606696934828916,139.99324038212788,0.261,101412.20654297133,,,12,2,156,132,0,0.739,234181.25438803324
46,1.0,132699.71646013513,139919.20404666397,2004.1061846392895,0.10465463929930917,140.125675319786,0.307,153201.01134463653,,,12,4,165,173,0,0.6930000000000001,285900.7278047716
47,1.0,132817.9183314134,139847.16207946104,1985.1040668321818,0.10138241072422632,140.23978132127667,0.309,187370.58285574452,,,12,6,173,165,0,0.6910000000000001,320188.50118715793
48,1.0,132916.38453367518,139947.8654925488,1967.150607950579,0.10277710104552633,140.33470522366895,0.308,222345.15923838143,,,12,8,180,159,0,0.692,355261.5437720566
49,1.0,132995.08020394514,140171.27543001247,1958.756771903877,0.11296975037746586,140.41499824864255,0.344,272687.877261944,,,12,10,193,189,0,0.656,405682.95746588917
50,1.0,133069.2765236287,140143.40601425472,1948.4819075153403,0.11213501879368451,140.485267945985,0.372,334133.421327853,,,12,12,230,176,0,0.628,467202.69785148173
51,1.5,134019.6040276924,141036.97827593714,1938.7044943106775,0.0635266479138953,145.54636409187088,0.146,23172.3139563011,77.24104652100365,0.0,0,0,80,74,0,0.854,157191.9179839935
52,2.0,135999.86418209918,142676.10072278074,1879.0678283409616,0.03628076357025421,151.33774254059298,0.032,3914.032886177472,13.04677628725824,0.0,0,0,29,3,0,0.968,139913.89706827665
53,2.0,136772.04696445784,143444.54834287154,1884.1912626713565,0.06017124965003653,161.46568475510523,0.026,2983.268749662576,,,0,0,15,11,0,0.974,139755.31571412043
54,2.0,136908.6396433196,143810.20864626125,1875.984089011471,0.07893037693792485,162.40883321304855,0.033,6724.419497839473,,,0,2,14,19,0,0.967,143633.05914115906
55,2.0,137101.0173837166,143658.34598721028,1862.7727762576192,0.06924504957919227,162.69773725664794,0.028,8397.583762556791,,,0,4,12,16,0,0.972,145498.60114627337
56,2.0,137303.6621114282,143796.3051621357,1850.5771940996683,0.0754669614577305,162.95082381113767,0.033,8833.83946358858,,,0,6,13,20,0,0.967,146137.50157501677
57,2.0,137530.99615146266,143742.3551974261,1847.6310616338399,0.08343536416161824,163.16821292695704,0.025,9714.128273774735,,,0,8,9,16,0,0.975,147245.1244252374
58,2.0,137575.59448849494,143851.8991778642,1822.2208047035497,0.08293328562344722,163.36352050998877,0.019,10103.601053117021,,,0,10,6,13,0,0.981,147679.19554161196
59,2.0,137824.91345343878,144095.3558320179,1833.050791826154,0.09951188976852766,163.5439181163501,0.019,7137.090829527221,,,0,12,10,9,0,0.981,144962.004282966
60,2.0,136510.9134435961,143117.3618997694,1892.9991596359741,0.05445535396397707,161.59875287682692,0.056,5931.947973793667,,,2,0,27,30,0,0.944,142442.86141738977
61,2.0,136752.0067078011,143321.32939065935,1871.8915820155748,0.049004443339738496,162.04510241510633,0.047,10293.263326130334,,,2,2,19,29,0,0.953,147045.27003393145
